t,k,x
4.396984924623116,0.9940816326530613,4.27401954259033
4.522613065326633,0.9940816326530613,4.337328585021945
4.648241206030151,0.9940816326530613,4.3982733417046616
4.773869346733668,0.9940816326530613,4.457022021258629
4.899497487437186,0.9940816326530613,4.512606619499332
5.025125628140704,0.9940816326530613,4.565274998290403
5.150753768844221,0.9940816326530613,4.61366804548997
5.276381909547739,0.9940816326530613,4.657640442405107
5.402010050251256,0.9940816326530613,4.69611629870257
5.527638190954774,0.9940816326530613,4.726949992655636
5.653266331658291,0.9940816326530613,4.749313534398251
5.778894472361809,0.9940816326530613,4.759836971439854
5.9045226130653266,0.9940816326530613,4.752678166014897
6.030150753768845,0.9940816326530613,4.723478321977011
6.155778894472362,0.9940816326530613,4.656558769670221
6.28140703517588,0.9940816326530613,4.529129430278222
6.407035175879397,0.9940816326530613,4.290714174866048
6.532663316582915,0.9940816326530613,3.826479958163777
6.658291457286432,0.9940816326530613,2.908446985662298
6.78391959798995,0.9940816326530613,1.6128909686344344
6.909547738693467,0.9940816326530613,0.9469929336020256
7.035175879396985,0.9940816326530613,0.8434357406196049
7.160804020100502,0.9940816326530613,0.8840670003837232
7.28643216080402,0.9940816326530613,0.9607966935755113
7.4120603015075375,0.9940816326530613,1.0519476546720974
7.5376884422110555,0.9940816326530613,1.152363941458898
7.663316582914573,0.9940816326530613,1.2604037920762956
7.788944723618091,0.9940816326530613,1.3751948238242957
7.914572864321608,0.9940816326530613,1.4958483433075407
8.040201005025125,0.9940816326530613,1.621243038314331
8.165829145728644,0.9940816326530613,1.7500733824711567
8.291457286432161,0.9940816326530613,1.8806180855496961
8.417085427135678,0.9940816326530613,2.0111241404220417
8.542713567839195,0.9940816326530613,2.1397966853844665
8.668341708542714,0.9940816326530613,2.2651087275121435
8.793969849246231,0.9940816326530613,2.386039800543164
8.919597989949748,0.9940816326530613,2.5016424772215258
9.045226130653266,0.9940816326530613,2.6117937566797775
9.170854271356784,0.9940816326530613,2.7168058888612014
9.296482412060302,0.9940816326530613,2.8171496904454845
9.422110552763819,0.9940816326530613,2.913152717143139
9.547738693467336,0.9940816326530613,3.0054861442483136
9.673366834170855,0.9940816326530613,3.094791055763021
9.798994974874372,0.9940816326530613,3.1815647460672416
9.924623115577889,0.9940816326530613,3.266121351316928
10.050251256281408,0.9940816326530613,3.348787323827002
10.175879396984925,0.9940816326530613,3.4297913467917724
10.301507537688442,0.9940816326530613,3.509365190604407
10.42713567839196,0.9940816326530613,3.5876624738663017
10.552763819095478,0.9940816326530613,3.664611223542065
10.678391959798995,0.9940816326530613,3.7403930753717347
10.804020100502512,0.9940816326530613,3.81493247559812
10.92964824120603,0.9940816326530613,3.8882506886099715
11.055276381909549,0.9940816326530613,3.9602502314742316
11.180904522613066,0.9940816326530613,4.030963976294138
11.306532663316583,0.9940816326530613,4.100141538468185
11.4321608040201,0.9940816326530613,4.167890390459459
11.557788944723619,0.9940816326530613,4.23377867912264
11.683417085427136,0.9940816326530613,4.2979893672508505
11.809045226130653,0.9940816326530613,4.35987654106362
11.93467336683417,0.9940816326530613,4.419686415842722
12.06030150753769,0.9940816326530613,4.4765010094656805
12.185929648241206,0.9940816326530613,4.53059131322863
12.311557788944723,0.9940816326530613,4.580677200922947
12.43718592964824,0.9940816326530613,4.626845056763016
12.56281407035176,0.9940816326530613,4.667671558984665
12.688442211055277,0.9940816326530613,4.7019365349522655
12.814070351758794,0.9940816326530613,4.728709706366645
12.93969849246231,0.9940816326530613,4.744360693100919
13.06532663316583,0.9940816326530613,4.745987603266253
13.190954773869347,0.9940816326530613,4.728805759129364
13.316582914572864,0.9940816326530613,4.680306197823487
13.442211055276381,0.9940816326530613,4.584979693904571
13.5678391959799,0.9940816326530613,4.407399720096354
13.693467336683417,0.9940816326530613,4.06998064404223
13.819095477386934,0.9940816326530613,3.4014652696815886
13.944723618090451,0.9940816326530613,2.208990165317818
14.07035175879397,0.9940816326530613,1.1574252390922224
14.195979899497488,0.9940816326530613,0.8635691471336842
14.321608040201005,0.9940816326530613,0.8603569416639123
14.447236180904522,0.9940816326530613,0.9246935297452186
14.57286432160804,0.9940816326530613,1.0100537671763699
14.698492462311558,0.9940816326530613,1.1064413792707057
14.824120603015075,0.9940816326530613,1.211113304088008
14.949748743718592,0.9940816326530613,1.3229154266654464
15.075376884422111,0.9940816326530613,1.44103110087213
15.201005025125628,0.9940816326530613,1.5644291998533624
15.326633165829145,0.9940816326530613,1.6919158519271078
15.452261306532664,0.9940816326530613,1.821891340495909
15.577889447236181,0.9940816326530613,1.9526280273021677
15.703517587939698,0.9940816326530613,2.0823170321914035
15.829145728643216,0.9940816326530613,2.2093229559667282
15.954773869346734,0.9940816326530613,2.3322766228643115
16.08040201005025,0.9940816326530613,2.450288091183957
16.20603015075377,0.9940816326530613,2.563052974381051
16.331658291457288,0.9940816326530613,2.670306160747045
16.457286432160803,0.9940816326530613,2.7725711097883945
16.582914572864322,0.9940816326530613,2.8705039654306628
16.70854271356784,0.9940816326530613,2.9644517866215248
16.834170854271356,0.9940816326530613,3.0550288996091353
16.959798994974875,0.9940816326530613,3.1428637105832062
17.08542713567839,0.9940816326530613,3.228381118502703
